Phone Brand,Phone specification,Old Price,New Price,Rating
Samsung,"Galaxy A02 - 2/32GB Memory,Dual SIM, 5,000Mah Battery, 4G LTE - Black",,64688,4.3
Samsung,"Galaxy A32 - 6.4"", 6/128GB Memory, Camera - 64/8/5/5MP, 20MP Selfie, Dual SIM, 5,000Mah Battery, 4G LTE - Awesome Black",140000,114206,4.5
QUBO,"BIG1-6.26"" Screen,4500mAh Battery,16GB ROM,8MP Main Camera,Android 10,Fingerprint Unlock ,3G Android Smartphone",33990,28500,4.1
XIAOMI,"Redmi 9A 6.53 Inches 2GB RAM 32GB ROM 13MP REAR CAMERA, 5MP FRONT CAMERA, 5000mAH- Grey",60000,42533,4.4
XIAOMI,"Redmi 9T 4GB 128GB, 48MP+8MP+2MP+2MP,6000mah,Snapdragon 662, Corning Gorilla Glass - Carbon Grey",95000,81900,4.5
QUBO,"BIG1,6.26 Inch Screen,4500mAh ,16GB ROM,8MP Main Camera,Android 10,Fingerprint Unlock ,3G Android Smartphone",33990,28500,4.1
Itel,"A35 5.0"" HD Screen, 1GB RAM + 16GB ROM, Android 10, 3020mAh Battery, 5MP + 2MP Camera, Face Unlock, 3G - Blue +Free Case",28000,21973,4.1
Gionee,"S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Black",49990,39498,4.1
QUBO,"SP510 -Android 10,Memory 8GB ,5 Inch Dual SIM, 5MP Camera, 3G Smartphones",23900,19200,3.8
XIAOMI,"Poco M3 4GB 128GB, 48MP+2MP+2MP,6000mah,Snapdragon 662, Corning Gorilla Glass - Cool Blue",90000,72537,4.7
UMIDIGI,"A7S Infrared Temperature Sensor 6.53-Inch (2GB,32GB ROM)Android 10 GO (13MP+8MP+2MP)+8MP 4150mAh Smartphone-Granite Grey",64840,41000,3.8
XIAOMI,"Redmi 9C 6.53 Inch, 5MP Selfie/ 13mp+2mp+2mp Dual Rear Camera; 3GB RAM 64GB ROM 5000mAh - Grey",66000,55957,4.3
Cubot,"Note 7, 5.5 Inches,4G LTE,2GB + 16GB,3100mAh  (Dual SIM),Triple Camera -Black",49099,26848,3.4
Gionee,K3(M100) 4GB+64GB 6.22 Inch HD+ Android  P 5000 Mah Dual SIM 4G LTE Smartphone,94098,93157,3.8
XIAOMI,"Redmi Note 10S 6GB 64GB, 64MP+8MP+2MP+2MP,5000mah,MediaTek Helio G95 (12nm), Corning Gorilla Glass 3 - Ocean Blue",140000,102700,4.9
Infinix,"Infinix Note 10 (X693) 6.95-Inch (128GB ROM, 4GB RAM) 48MP+16MP Night Camera, 5000mAh Battery - purple",120000,82090,4.3
Apple,iPhone 5 1G RAM 16GB ROM IOS 3G 4.0 Inch 8MP ICloud WIFI GPS Phone,36000,18715,4.2
Tecno,"Camon 17 (CG6) 6.6"" 90Hz HD+, 4GB RAM + 128GB ROM, 48MP Triple Rear+8MP Selfie Camera, Android 11, 5000mAh, 4G - Silver",90000,77990,4.9
Gionee,"S12 6.517-Inch HD (4GB RAM, 64GB ROM) Android 10 (16+8+2+2MP Quad Rear Camera, 13MP Front) Dual SIM 4G LTE Blue",75000,53978,4.6
UMIDIGI,"BISON IP68/IP69K (6GB,128GB) 6.3-Inch Gorilla Glass (48MP+16MP+5MP+5MP)+24MP NFC Android 10 Rugged Smartphone-Orange",131500,81900,4.5
UMIDIGI,"A7S Infrared Temperature Sensor 6.53"" (2GB,32GB ROM) Android 10 GO (13MP+8MP+2MP)+8MP 4150mAh Smartphone-Peacock Green",64840,41000,4.0
XIAOMI,"Redmi Note 8 (2021) 4GB 64GB, 48MP+8MP+2MP+2MP,4000mah,MediaTek Helio G85 (12nm), Corning Gorilla Glass 5 - Space Black",100000,72254,4.7
UMIDIGI,"A9 Android 11 Infrared Temperature Sensor (13MP+8MP+2MP)+8MP 6.53-Inch (3GB,64GB ROM)5150mAh Global Version-Granite Grey",84840,56900,4.3
Tecno,"POP4 (BC2) 6"" Big Screen, 2GB RAM + 32GB ROM, 5000mAh Battery, Android 10, 8MP + 5MP Camera, Fingerprint -IceLake Green",42990,40490,4.3
Itel,"A56 5.99"" IPS Screen, Android 9 Pie, 16GB ROM + 1GB RAM, 8MP + 5MP Camera, 4000mAh Battery, Fingerprint & Face ID - Blue",35000,30990,4.2
Samsung,"Galaxy A32 - 6.4"", 6/128GB Memory, Camera - 64/8/5/5MP, 20MP Selfie, Dual SIM, 5,000Mah Battery, 4G LTE - Violet",190000,114206,4.7
Cubot,"Note 7, 5.5 Inches,4G LTE,2GB + 16GB,3100mAh  (Dual SIM),Triple Camera -Blue",49099,28500,4.1
UMIDIGI,"A9 Pro Infrared Temperature Sensor (32MP+16MP+5MP+5MP) +24MP 6.3-Inch (4GB,64GB ROM) Android 10 Smartphone-Forest Green",104840,64900,4.5
XIAOMI,"Redmi 9C 6.53 Inch, 5MP Selfie/ 13mp+2mp+2mp Dual Rear Camera; 3GB RAM 64GB ROM 5000mAh -  Blue",64900,54800,4.5
Tecno,"POP3 (BB2) 5.7"" Screen, 16GB ROM + 1GB RAM, Android 8.1 Oreo, 8MP + 5MP Camera, 3500mAh, Fingerprint & Face ID - Black",35000,30750,4.2
Itel,"A37 5.7"" HD+ Waterdrop Screen, 1GB RAM + 16GB ROM, Android 10, 3020mAh Battery, 5MP Camera, Face ID - Green + Free Case",30000,28290,3.9
Infinix,Smart 5 (X657)- 32gb ROM/ 2gb RAM- 6.6'' HD+ Waterdrop- 5000mah-8MP/8MP-ANDROID TM 10(Go Edition) -MIDNIGHT BLACK,50500,44990,4.4
QUBO,"P19 ,5.5"" HD-screen,3GB+32GB,5200mAh Big Battery,fingerprint, Fast Charge,Dual Sim 4G Android Smartphone",47990,32990,4.0
Tecno,"POP4 , 6"" Screen 32GB ROM + 2GB RAM, 8MP/5MP Camera, Android Q (Go Edition), 5000mah - Ice Lake Green",45000,39890,4.4
Tecno,"Camon 17 (CG6) 6.6"" 90Hz HD+, 4GB RAM + 128GB ROM, 48MP Triple Rear + 8MP Front ,Android 11, 5000mAh, 4G - FROST SILVER",105000,100000,4.3
Tecno,"POP3 (BB2) 5.7"" Screen, 16GB ROM + 1GB RAM, Android 8.1 Oreo, 8MP + 5MP Camera, 3500mAh,  - Sandstone Black",32000,31199,4.1
Gionee,"S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Gold",55000,40800,4.2
Samsung,"Galaxy A02 - 6.5"", 3/64GB Memory, 13MP Camera, Dual SIM, 5,000Mah Battery, 4G LTE - Black",65000,52320,4.4
Itel,"A35 5.0"" HD Screen, 1GB RAM + 16GB ROM, Android 10, 3020mAh Battery, 5MP +2MP Camera, Face Unlock, 3G - Green +Free Case",28000,23290,4.3
Tecno,"CAMON 16(CE7J)-6.8"" HD+ DOT-in DISPLAY-128GB ROM/4GB RAM-16MP/48MP CAMERA-5000MAH-4G LTE-mist grey",,82148,5.0
